==28560== NVPROF is profiling process 28560, command: ./b+tree file ../../data/b+tree/mil.txt command ../../data/b+tree/command.txt
==28560== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==28560== Profiling application: ./b+tree file ../../data/b+tree/mil.txt command ../../data/b+tree/command.txt
==28560== Profiling result:
==28560== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"GeForce GTX 1080 (0)","findRangeK",1,"flop_count_dp_add","Floating Point Operations(Double Precision Add)",0,0,0
"GeForce GTX 1080 (0)","findRangeK",1,"flop_count_dp_fma","Floating Point Operations(Double Precision FMA)",0,0,0
"GeForce GTX 1080 (0)","findRangeK",1,"flop_count_dp_mul","Floating Point Operations(Double Precision Mul)",0,0,0
"GeForce GTX 1080 (0)","findRangeK",1,"flop_count_sp","Floating Point Operations(Single Precision)",0,0,0
"GeForce GTX 1080 (0)","findRangeK",1,"flop_count_sp_add","Floating Point Operations(Single Precision Add)",0,0,0
"GeForce GTX 1080 (0)","findRangeK",1,"flop_count_sp_fma","Floating Point Operations(Single Precision FMA)",0,0,0
"GeForce GTX 1080 (0)","findRangeK",1,"flop_count_sp_mul","Floating Point Operation(Single Precision Mul)",0,0,0
"GeForce GTX 1080 (0)","findRangeK",1,"flop_count_sp_special","Floating Point Operations(Single Precision Special)",0,0,0
"GeForce GTX 1080 (0)","findRangeK",1,"inst_executed","Instructions Executed",11174492,11174492,11174492
"GeForce GTX 1080 (0)","findRangeK",1,"inst_issued","Instructions Issued",11177396,11177396,11177396
"GeForce GTX 1080 (0)","findRangeK",1,"sysmem_utilization","System Memory Utilization","Low (1)","Low (1)","Low (1)"
"GeForce GTX 1080 (0)","findRangeK",1,"stall_inst_fetch","Issue Stall Reasons (Instructions Fetch)",2.266843%,2.266843%,2.266843%
"GeForce GTX 1080 (0)","findRangeK",1,"stall_exec_dependency","Issue Stall Reasons (Execution Dependency)",4.376733%,4.376733%,4.376733%
"GeForce GTX 1080 (0)","findRangeK",1,"stall_memory_dependency","Issue Stall Reasons (Data Request)",52.537730%,52.537730%,52.537730%
"GeForce GTX 1080 (0)","findRangeK",1,"stall_texture","Issue Stall Reasons (Texture)",0.000000%,0.000000%,0.000000%
"GeForce GTX 1080 (0)","findRangeK",1,"stall_sync","Issue Stall Reasons (Synchronization)",37.891274%,37.891274%,37.891274%
"GeForce GTX 1080 (0)","findRangeK",1,"stall_other","Issue Stall Reasons (Other)",1.548083%,1.548083%,1.548083%
"GeForce GTX 1080 (0)","findRangeK",1,"stall_constant_memory_dependency","Issue Stall Reasons (Immediate constant)",0.085419%,0.085419%,0.085419%
"GeForce GTX 1080 (0)","findRangeK",1,"stall_pipe_busy","Issue Stall Reasons (Pipe Busy)",0.253202%,0.253202%,0.253202%
"GeForce GTX 1080 (0)","findRangeK",1,"shared_efficiency","Shared Memory Efficiency",0.000000%,0.000000%,0.000000%
"GeForce GTX 1080 (0)","findRangeK",1,"inst_fp_32","FP Instructions(Single)",0,0,0
"GeForce GTX 1080 (0)","findRangeK",1,"inst_fp_64","FP Instructions(Double)",0,0,0
"GeForce GTX 1080 (0)","findRangeK",1,"inst_integer","Integer Instructions",214782174,214782174,214782174
"GeForce GTX 1080 (0)","findRangeK",1,"inst_bit_convert","Bit-Convert Instructions",0,0,0
"GeForce GTX 1080 (0)","findRangeK",1,"inst_control","Control-Flow Instructions",23034000,23034000,23034000
"GeForce GTX 1080 (0)","findRangeK",1,"inst_compute_ld_st","Load/Store Instructions",28928286,28928286,28928286
"GeForce GTX 1080 (0)","findRangeK",1,"inst_misc","Misc Instructions",69320604,69320604,69320604
"GeForce GTX 1080 (0)","findRangeK",1,"inst_inter_thread_communication","Inter-Thread Instructions",0,0,0
"GeForce GTX 1080 (0)","findRangeK",1,"issue_slots","Issue Slots",10205396,10205396,10205396
"GeForce GTX 1080 (0)","findRangeK",1,"cf_issued","Issued Control-Flow Instructions",905958,905958,905958
"GeForce GTX 1080 (0)","findRangeK",1,"cf_executed","Executed Control-Flow Instructions",905958,905958,905958
"GeForce GTX 1080 (0)","findRangeK",1,"ldst_issued","Issued Load/Store Instructions",4079036,4079036,4079036
"GeForce GTX 1080 (0)","findRangeK",1,"ldst_executed","Executed Load/Store Instructions",1415958,1415958,1415958
"GeForce GTX 1080 (0)","findRangeK",1,"atomic_transactions","Atomic Transactions",0,0,0
"GeForce GTX 1080 (0)","findRangeK",1,"atomic_transactions_per_request","Atomic Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 1080 (0)","findRangeK",1,"l2_atomic_throughput","L2 Throughput (Atomic requests)",0.000000B/s,0.000000B/s,0.000000B/s
"GeForce GTX 1080 (0)","findRangeK",1,"l2_atomic_transactions","L2 Transactions (Atomic requests)",0,0,0
"GeForce GTX 1080 (0)","findRangeK",1,"l2_tex_read_transactions","L2 Transactions (Texture Reads)",2245879,2245879,2245879
"GeForce GTX 1080 (0)","findRangeK",1,"stall_memory_throttle","Issue Stall Reasons (Memory Throttle)",0.002022%,0.002022%,0.002022%
"GeForce GTX 1080 (0)","findRangeK",1,"stall_not_selected","Issue Stall Reasons (Not Selected)",1.038693%,1.038693%,1.038693%
"GeForce GTX 1080 (0)","findRangeK",1,"l2_tex_write_transactions","L2 Transactions (Texture Writes)",60000,60000,60000
"GeForce GTX 1080 (0)","findRangeK",1,"flop_count_hp","Floating Point Operations(Half Precision)",0,0,0
"GeForce GTX 1080 (0)","findRangeK",1,"flop_count_hp_add","Floating Point Operations(Half Precision Add)",0,0,0
"GeForce GTX 1080 (0)","findRangeK",1,"flop_count_hp_mul","Floating Point Operation(Half Precision Mul)",0,0,0
"GeForce GTX 1080 (0)","findRangeK",1,"flop_count_hp_fma","Floating Point Operations(Half Precision FMA)",0,0,0
"GeForce GTX 1080 (0)","findRangeK",1,"inst_fp_16","HP Instructions(Half)",0,0,0
"GeForce GTX 1080 (0)","findRangeK",1,"sysmem_read_utilization","System Memory Read Utilization","Idle (0)","Idle (0)","Idle (0)"
"GeForce GTX 1080 (0)","findRangeK",1,"sysmem_write_utilization","System Memory Write Utilization","Low (1)","Low (1)","Low (1)"
"GeForce GTX 1080 (0)","findRangeK",1,"sm_activity","Multiprocessor Activity",98.880738%,98.880738%,98.880738%
"GeForce GTX 1080 (0)","findRangeK",1,"achieved_occupancy","Achieved Occupancy",0.939698,0.939698,0.939698
"GeForce GTX 1080 (0)","findRangeK",1,"executed_ipc","Executed IPC",1.188128,1.188128,1.188128
"GeForce GTX 1080 (0)","findRangeK",1,"issued_ipc","Issued IPC",1.176555,1.176555,1.176555
"GeForce GTX 1080 (0)","findRangeK",1,"issue_slot_utilization","Issue Slot Utilization",26.856017%,26.856017%,26.856017%
"GeForce GTX 1080 (0)","findRangeK",1,"eligible_warps_per_cycle","Eligible Warps Per Active Cycle",1.676095,1.676095,1.676095
"GeForce GTX 1080 (0)","findRangeK",1,"tex_utilization","Unified Cache Utilization","Low (3)","Low (3)","Low (3)"
"GeForce GTX 1080 (0)","findRangeK",1,"l2_utilization","L2 Cache Utilization","Low (3)","Low (3)","Low (3)"
"GeForce GTX 1080 (0)","findRangeK",1,"shared_utilization","Shared Memory Utilization","Idle (0)","Idle (0)","Idle (0)"
"GeForce GTX 1080 (0)","findRangeK",1,"ldst_fu_utilization","Load/Store Function Unit Utilization","Low (1)","Low (1)","Low (1)"
"GeForce GTX 1080 (0)","findRangeK",1,"cf_fu_utilization","Control-Flow Function Unit Utilization","Low (1)","Low (1)","Low (1)"
"GeForce GTX 1080 (0)","findRangeK",1,"special_fu_utilization","Special Function Unit Utilization","Idle (0)","Idle (0)","Idle (0)"
"GeForce GTX 1080 (0)","findRangeK",1,"tex_fu_utilization","Texture Function Unit Utilization","Low (2)","Low (2)","Low (2)"
"GeForce GTX 1080 (0)","findRangeK",1,"single_precision_fu_utilization","Single-Precision Function Unit Utilization","Low (3)","Low (3)","Low (3)"
"GeForce GTX 1080 (0)","findRangeK",1,"double_precision_fu_utilization","Double-Precision Function Unit Utilization","Idle (0)","Idle (0)","Idle (0)"
"GeForce GTX 1080 (0)","findRangeK",1,"flop_hp_efficiency","FLOP Efficiency(Peak Half)",0.000000%,0.000000%,0.000000%
"GeForce GTX 1080 (0)","findRangeK",1,"flop_sp_efficiency","FLOP Efficiency(Peak Single)",0.000000%,0.000000%,0.000000%
"GeForce GTX 1080 (0)","findRangeK",1,"flop_dp_efficiency","FLOP Efficiency(Peak Double)",0.000000%,0.000000%,0.000000%
"GeForce GTX 1080 (0)","findRangeK",1,"dram_read_transactions","Device Memory Read Transactions",341412,341412,341412
"GeForce GTX 1080 (0)","findRangeK",1,"dram_write_transactions","Device Memory Write Transactions",38043,38043,38043
"GeForce GTX 1080 (0)","findRangeK",1,"dram_read_throughput","Device Memory Read Throughput",33.948486GB/s,33.948486GB/s,33.947639GB/s
"GeForce GTX 1080 (0)","findRangeK",1,"dram_write_throughput","Device Memory Write Throughput",3.782826GB/s,3.782826GB/s,3.782101GB/s
"GeForce GTX 1080 (0)","findRangeK",1,"dram_utilization","Device Memory Utilization","Low (2)","Low (2)","Low (2)"
"GeForce GTX 1080 (0)","findRangeK",1,"half_precision_fu_utilization","Half-Precision Function Unit Utilization","Idle (0)","Idle (0)","Idle (0)"
"GeForce GTX 1080 (0)","findRangeK",1,"ecc_transactions","ECC Transactions",0,0,0
"GeForce GTX 1080 (0)","findRangeK",1,"ecc_throughput","ECC Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"GeForce GTX 1080 (0)","findK",1,"inst_per_warp","Instructions per warp",147.028337,147.028337,147.028337
"GeForce GTX 1080 (0)","findK",1,"branch_efficiency","Branch Efficiency",100.000000%,100.000000%,100.000000%
"GeForce GTX 1080 (0)","findK",1,"warp_execution_efficiency","Warp Execution Efficiency",92.063148%,92.063148%,92.063148%
"GeForce GTX 1080 (0)","findK",1,"warp_nonpred_execution_efficiency","Warp Non-Predicated Execution Efficiency",90.436924%,90.436924%,90.436924%
"GeForce GTX 1080 (0)","findK",1,"inst_replay_overhead","Instruction Replay Overhead",0.000241,0.000241,0.000241
"GeForce GTX 1080 (0)","findK",1,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 1080 (0)","findK",1,"shared_store_transactions_per_request","Shared Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 1080 (0)","findK",1,"local_load_transactions_per_request","Local Memory Load Transactions Per Request",0.000000,0.000000,0.000000
